fruit,label,actual_date,corrected_day_index,local_day_index,ir_morning_count,ir_afternoon_count,ir_evening_count,ir_total_sessions,ir_t_min_mean,ir_t_max_mean,ir_t_range_mean,srgb_morning_count,srgb_afternoon_count,srgb_evening_count,srgb_total_sessions,methane_morning_present,methane_afternoon_present,methane_evening_present,methane_total_sessions,methane_morning_ppm,methane_afternoon_ppm,methane_evening_ppm,methane_day_mean_ppm,sequence_break,days_until_spoilage,signed_days_until_spoilage,exclude,notes,ir_morning_tmin,ir_morning_tmax,ir_morning_trange,ir_afternoon_tmin,ir_afternoon_tmax,ir_afternoon_trange,ir_evening_tmin,ir_evening_tmax,ir_evening_trange,methane_morning_std,methane_morning_left,methane_morning_right,methane_afternoon_std,methane_afternoon_left,methane_afternoon_right,methane_evening_std,methane_evening_left,methane_evening_right,split
Mango,not_spoiled,20250920,1,1,17,17,17,3,30.53,32.01,1.48,17,17,17,3,TRUE,TRUE,TRUE,3,16.708,14.9108,16.1825,15.9338,FALSE,9,9,FALSE,,30.04,31.52,1.48,30.5,31.98,1.48,31.05,32.52,1.47,1.3513,15.484,18.1652,0.7712,15.6143,14.09,1.0313,17.1862,15.1429,train
Mango,not_spoiled,20250922,2,2,17,17,17,3,31.18,32.7,1.52,17,17,17,3,TRUE,TRUE,TRUE,3,13.888,15.2269,17.4864,15.5338,FALSE,7,7,FALSE,,30.42,32.14,1.72,30.95,32.34,1.39,32.18,33.63,1.45,0.3485,14.24,13.55,3.1254,12.6471,18.8817,1.4215,16.1448,18.9557,train
Mango,not_spoiled,20250923,3,3,17,17,17,3,31.46,33.12,1.66,17,17,17,3,TRUE,TRUE,TRUE,3,16.804,12.561,15.3216,14.8955,FALSE,6,6,FALSE,,31.01,32.86,1.85,31.42,32.92,1.5,31.96,33.57,1.61,0.9838,17.8167,15.8692,0.3292,12.93,12.2759,2.5193,13.1114,18.1345,train
Mango,not_spoiled,20250924,4,4,17,17,17,3,30.71,32.39,1.68,17,18,17,3,TRUE,TRUE,TRUE,3,15.9989,17.4559,16.7449,16.7332,FALSE,5,5,FALSE,,30.52,32.41,1.89,30.01,31.61,1.6,31.61,33.16,1.55,0.0876,15.93,16.0785,0.2186,17.2309,17.655,0.1436,16.8819,16.613,val
Mango,not_spoiled,20250926,5,5,17,17,17,3,31.58,33.26,1.68,17,17,17,3,FALSE,FALSE,FALSE,0,,,,,FALSE,3,3,FALSE,,30.69,32.66,1.97,31.74,33.22,1.48,32.31,33.91,1.6,,,,,,,,,,test
Mango,spoiled,20250929,6,1,17,17,17,3,29.69,31.5,1.81,17,0,17,2,TRUE,TRUE,TRUE,3,17.9584,17.043,18.1502,17.7172,TRUE,0,0,FALSE,,29.31,31.25,1.94,29.41,31.14,1.73,30.36,32.11,1.75,0.649,17.35,18.6369,0.0455,17.0352,17.0514,0.6664,17.3144,18.669,train
Mango,spoiled,20250930,7,2,17,17,17,3,30.02,31.73,1.71,17,17,17,3,TRUE,TRUE,TRUE,3,17.2646,12.252,17.8502,15.7889,FALSE,0,-1,FALSE,,28.65,30.62,1.97,29.92,31.61,1.69,31.48,32.96,1.48,0.547,16.7432,17.8262,0.4228,11.834,12.67,1.6066,19.44,16.2604,val
Mango,spoiled,20251003,8,3,16,34,0,2,29.9,31.49,1.59,17,34,0,2,FALSE,FALSE,FALSE,0,,,,,TRUE,0,-4,FALSE,,29.33,31.07,1.74,30.16,31.69,1.53,,,,,,,,,,,,,test
