fruit,label,actual_date,corrected_day_index,local_day_index,ir_morning_count,ir_afternoon_count,ir_evening_count,ir_total_sessions,ir_t_min_mean,ir_t_max_mean,ir_t_range_mean,srgb_morning_count,srgb_afternoon_count,srgb_evening_count,srgb_total_sessions,methane_morning_present,methane_afternoon_present,methane_evening_present,methane_total_sessions,methane_morning_ppm,methane_afternoon_ppm,methane_evening_ppm,methane_day_mean_ppm,sequence_break,days_until_spoilage,signed_days_from_spoilage,exclude,notes,ir_morning_tmin,ir_morning_tmax,ir_morning_trange,ir_afternoon_tmin,ir_afternoon_tmax,ir_afternoon_trange,ir_evening_tmin,ir_evening_tmax,ir_evening_trange,methane_morning_std,methane_morning_left,methane_morning_right,methane_afternoon_std,methane_afternoon_left,methane_afternoon_right,methane_evening_std,methane_evening_left,methane_evening_right,split
Banana,not_spoiled,20250911,1,1,17,17,17,3,29.69,32.04,2.35,17,17,17,3,TRUE,TRUE,FALSE,2,16.8655,15.6837,,16.2746,FALSE,4,4,FALSE,,28.88,31.09,2.21,29.64,31.95,2.31,30.55,33.09,2.54,1.5867,15.3,18.4311,0.3427,15.344,16.0233,,,,val
Banana,not_spoiled,20250912,2,2,17,17,17,3,29.82,32.1,2.28,17,17,17,3,TRUE,TRUE,TRUE,3,14.8053,12.3768,14.6216,13.9346,FALSE,3,3,FALSE,,28.75,30.79,2.04,29.18,31.53,2.35,31.54,33.98,2.44,1.2932,13.5243,16.0863,0.387,12.7636,11.99,1.0915,15.7,13.5433,train
Banana,not_spoiled,20250913,3,3,17,17,17,3,30.28,32.38,2.1,17,17,17,3,TRUE,TRUE,TRUE,3,13.7909,16.044,13.0459,14.2936,FALSE,2,2,FALSE,,30.18,32.21,2.03,29.7,31.83,2.13,30.96,33.09,2.13,0.2241,14.01,13.5718,0.5717,16.6071,15.481,1.3157,14.3448,11.7471,test
Banana,spoiled,20250915,4,1,17,17,17,3,30.48,32.11,1.63,17,17,0,2,TRUE,TRUE,TRUE,3,14.8665,14.5031,16.3191,15.2296,FALSE,0,0,FALSE,,28.99,30.41,1.42,30.78,32.42,1.64,31.66,33.51,1.85,0.047,14.89,14.8429,3.1373,11.3962,17.61,0.9209,15.4091,17.229,test
Banana,spoiled,20250916,5,2,17,0,17,2,30.82,32.34,1.52,17,0,17,2,TRUE,TRUE,TRUE,3,12.8048,16.7662,13.9831,14.518,FALSE,0,-1,FALSE,,29.84,31.16,1.32,,,,31.8,33.52,1.72,2.5097,15.2926,10.3169,0.2234,16.5464,16.9861,3.033,10.9267,17.0394,train
Banana,spoiled,20250917,6,3,17,17,17,3,30.7,32.22,1.52,17,17,17,3,TRUE,TRUE,TRUE,3,17.1118,15.0709,15.5517,15.9115,FALSE,0,-2,FALSE,,30.25,31.62,1.37,30.61,32.19,1.58,31.23,32.84,1.61,0.1551,16.9621,17.2614,0.0497,15.1,15.0418,1.136,14.4028,16.7006,val
Banana,spoiled,20250918,7,4,17,17,17,3,29.78,31.57,1.79,17,17,17,3,TRUE,TRUE,TRUE,3,15.9849,13.7987,15.0686,14.9507,FALSE,0,-3,FALSE,,29.04,30.69,1.65,29.43,31.16,1.73,30.88,32.87,1.99,0.3391,16.3127,15.6571,0.9286,14.7274,12.87,0.0507,15.0371,15.1,train
