fruit,label,actual_date,corrected_day_index,local_day_index,ir_morning_count,ir_afternoon_count,ir_evening_count,ir_total_sessions,ir_t_min_mean,ir_t_max_mean,ir_t_range_mean,srgb_morning_count,srgb_afternoon_count,srgb_evening_count,srgb_total_sessions,methane_morning_present,methane_afternoon_present,methane_evening_present,methane_total_sessions,methane_morning_ppm,methane_afternoon_ppm,methane_evening_ppm,methane_day_mean_ppm,sequence_break,days_until_spoilage,signed_days_until_spoilage,exclude,notes,ir_morning_tmin,ir_morning_tmax,ir_morning_trange,ir_afternoon_tmin,ir_afternoon_tmax,ir_afternoon_trange,ir_evening_tmin,ir_evening_tmax,ir_evening_trange,methane_morning_std,methane_morning_left,methane_morning_right,methane_afternoon_std,methane_afternoon_left,methane_afternoon_right,methane_evening_std,methane_evening_left,methane_evening_right,split
Carrot,not_spoiled,20250725,1,1,17,17,18,3,25.04,27.73,2.69,17,17,17,3,TRUE,TRUE,TRUE,3,15.7717,15.4539,14.6573,15.2943,FALSE,3,3,FALSE,,24.58,27.23,2.65,25.28,27.82,2.54,25.24,28.13,2.89,0.2331,15.9971,15.5462,1.2464,16.6777,14.23,0.3409,14.3246,14.99,val
Carrot,not_spoiled,20250726,2,2,17,17,17,3,24.86,27.52,2.66,17,17,17,3,TRUE,TRUE,TRUE,3,14.095,13.9578,14.715,14.2559,FALSE,2,2,FALSE,,24.18,27.02,2.84,25.12,27.88,2.76,25.27,27.66,2.39,0.8083,13.3,14.89,1.7244,15.6455,12.27,2.779,17.44,11.99,train
Carrot,spoiled,20250728,3,1,17,17,17,3,26.33,29.61,3.28,17,17,17,3,TRUE,TRUE,TRUE,3,12.955,15.7346,16.4489,15.0462,FALSE,0,0,FALSE,,25.58,27.57,1.99,26.43,29.5,3.07,26.96,31.75,4.79,0.8401,13.78,12.13,0.0802,15.6692,15.8,2.3711,18.7771,14.1208,train
Carrot,spoiled,20250729,4,2,17,17,17,3,26.86,31.04,4.18,17,17,17,3,TRUE,TRUE,TRUE,3,18.7873,17.8422,18.2921,18.3072,FALSE,0,-1,FALSE,,26.19,29.55,3.36,26.64,30.91,4.27,27.75,32.68,4.93,3.1485,21.8746,15.7,1.5994,19.4045,16.28,0.1877,18.11,18.4743,test
Carrot,spoiled,20250730,5,3,17,17,17,3,27.58,31.81,4.23,17,17,17,3,TRUE,TRUE,TRUE,3,18.3,18.5215,15.1943,17.3386,FALSE,0,-2,FALSE,,27.21,30.64,3.43,27.05,31.15,4.1,28.49,33.63,5.14,1.1752,19.45,17.15,1.4967,17.063,19.98,0.9036,16.0809,14.3077,train
Carrot,spoiled,20250731,6,4,17,17,17,3,28.06,31.86,3.8,17,17,17,3,TRUE,TRUE,TRUE,3,15.6635,19.5258,20.2178,18.469,FALSE,0,-3,FALSE,,27.66,31.05,3.39,27.77,31.35,3.58,28.74,33.18,4.44,2.7686,12.9536,18.3733,0.6538,20.165,18.8867,1.621,18.6053,21.8304,train
Carrot,spoiled,20250801,7,5,17,17,17,3,28.0,32.2,4.2,17,17,16,3,TRUE,TRUE,TRUE,3,15.5482,16.5707,15.9835,16.0341,FALSE,0,-4,FALSE,,27.38,31.28,3.9,28.06,31.93,3.87,28.56,33.4,4.84,0.1536,15.7,15.3964,0.7104,15.8714,17.27,1.0371,14.9669,17.0,train
Carrot,spoiled,20250802,8,6,17,16,17,3,27.24,31.06,3.82,17,17,17,3,TRUE,TRUE,TRUE,3,17.2294,16.043,12.8181,15.3635,FALSE,0,-5,FALSE,,27.11,30.65,3.54,28.1,31.48,3.38,26.56,31.07,4.51,1.6503,15.6,18.8587,1.1484,17.18,14.906,1.3975,11.4341,14.2021,train
Carrot,spoiled,20250804,9,7,17,17,16,3,26.01,28.42,2.41,17,17,17,3,FALSE,FALSE,FALSE,0,,,,,FALSE,0,-7,FALSE,,25.19,27.66,2.47,25.41,27.81,2.4,27.51,29.86,2.35,,,,,,,,,,val
