config,observed_delta_ensemble,significant_ensemble,observed_delta_seed_level,significant_seed_level,direction_flip,significance_flip,any_inversion
Ablation 1 (no CBAM),-0.0308,False,0.0211,False,True,False,True
Ablation 2 (no cross-attn),-0.1333,False,-0.0825,False,False,False,False
Ablation 3 (LSTM),-0.1333,False,-0.0101,False,False,False,False
Ablation 4 (mean-impute),0.2,False,0.0072,False,False,False,False
Baseline A (early fusion),-0.1333,False,-0.0564,False,False,False,False
Baseline B (late fusion),-0.1333,False,-0.0887,False,False,False,False
