split,method,mae,rmse,r2
train,trained_model,3.2656246227522687,5.394801471111298,-0.27037257939662496
train,global_mean_baseline,3.4861111111111107,4.786410160258126,0.0
train,per_fruit_mean_baseline,3.4166666666666665,4.15832498329155,0.24522582600788112
val,trained_model,2.085184817326566,3.018872582982622,-0.24748783346855552
val,global_mean_baseline,2.541666666666667,2.9779280642009396,-0.2138783269961977
val,per_fruit_mean_baseline,2.1666666666666665,3.0345235760055207,-0.2604562737642584
test,trained_model,0.9188235093246807,1.0592622934477245,0.04389838475537933
test,global_mean_baseline,2.507575757575758,2.7315727885212757,-5.3580301251956195
test,per_fruit_mean_baseline,2.6818181818181817,3.7203372281164366,-10.794014084507044
