config,key,observed_delta_auc_vs_full_model,ci_lower,ci_upper,p_value_approx,distinguishable_from_full_model,n_valid_resamples
Ablation 2 (no cross-attn),ablation_2_no_cross_attn,0.0278,-0.1143,0.2286,1.0,False,9994
Ablation 4 (mean-impute),ablation_4_mean_impute_not_grud,0.0278,-0.1143,0.2222,1.0,False,9994
Ablation 1 (no CBAM),ablation_1_no_cbam,-0.1389,-0.515,0.1856,0.5051,False,9994
Ablation 3 (LSTM),ablation_3_lstm_not_transformer,-0.2778,-0.75,0.1562,0.2976,False,9994
Baseline A (early fusion),baseline_a_early,-0.3333,-0.75,0.05,0.1849,False,9994
Baseline B (late fusion),baseline_b_late,-0.3333,-0.75,0.037,0.1867,False,9994
