config,pattern,level,f1_mean,f1_std,auc_mean,auc_std,n
baseline_a_early,gas,0.0,0.7396320346320345,0.05520008411030764,0.5416666666666667,0.12117802765557523,50
baseline_a_early,gas,0.1,0.7195859434682964,0.06054405184053788,0.5355555555555556,0.11224478343520121,50
baseline_a_early,gas,0.2,0.7030831260243025,0.07763405944571734,0.525,0.137721854278399,50
baseline_a_early,gas,0.3,0.6779174746821807,0.10544389031294432,0.5133333333333333,0.13128145281747713,50
baseline_a_early,gas,0.4,0.64165348703584,0.16340612540625452,0.5266666666666667,0.12610808930819814,50
baseline_a_early,gas,0.5,0.6613737667561197,0.0882965806173646,0.5466666666666667,0.12641738608737735,50
baseline_a_early,ir,0.0,0.7396320346320345,0.05520008411030764,0.5416666666666667,0.12117802765557523,50
baseline_a_early,ir,0.1,0.7275115864527629,0.059744382468129756,0.5316666666666667,0.12598940754605922,50
baseline_a_early,ir,0.2,0.7090459834283364,0.09264033793259406,0.5261111111111112,0.12777654539482602,50
baseline_a_early,ir,0.3,0.6974984362043186,0.09704914612547248,0.5266666666666667,0.1179793338040078,50
baseline_a_early,ir,0.4,0.6890906609730139,0.11049268063324605,0.5305555555555556,0.12208428621361238,50
baseline_a_early,ir,0.5,0.6791783641195406,0.08287809571241696,0.49777777777777776,0.13698697784375505,50
baseline_a_early,joint,0.0,0.7396320346320345,0.05520008411030764,0.5416666666666667,0.12117802765557523,50
baseline_a_early,joint,0.1,0.698918525918526,0.08777251896767845,0.5327777777777778,0.11414370586374613,50
baseline_a_early,joint,0.2,0.6107593811417341,0.14707376344252215,0.48444444444444446,0.12921648881863051,50
baseline_a_early,joint,0.3,0.5959538239538239,0.12033996715022481,0.47583333333333333,0.1558470806503642,50
baseline_a_early,joint,0.4,0.530956043956044,0.20590931628566567,0.4825,0.11993091622331065,50
baseline_a_early,joint,0.5,0.522561536502713,0.1985558477744486,0.4894444444444445,0.1478024121455033,50
baseline_a_early,rgb,0.0,0.7396320346320345,0.05520008411030764,0.5416666666666667,0.12117802765557523,50
baseline_a_early,rgb,0.1,0.7133511782335311,0.0728635826797927,0.5327777777777778,0.1287929211101788,50
baseline_a_early,rgb,0.2,0.69446379111085,0.07724348064202195,0.5155555555555555,0.12194361153440515,50
baseline_a_early,rgb,0.3,0.6600459573106632,0.12131186153866302,0.4955555555555556,0.1310557552537652,50
baseline_a_early,rgb,0.4,0.6475866812925637,0.09388807750702222,0.5122222222222222,0.105163971118276,50
baseline_a_early,rgb,0.5,0.5988621443915562,0.1567265119670758,0.4816666666666667,0.09583312793694508,50
baseline_b_late,gas,0.0,0.7022732169790993,0.03981521542596466,0.5416666666666666,0.09979981222189911,50
baseline_b_late,gas,0.1,0.6800009696186167,0.056237492921083716,0.5383333333333333,0.13075863493370282,50
baseline_b_late,gas,0.2,0.6478729734317968,0.0848910891327784,0.5077777777777778,0.13504196225494094,50
baseline_b_late,gas,0.3,0.6592813852813854,0.07951628764037989,0.5272222222222223,0.14693153606784778,50
baseline_b_late,gas,0.4,0.6594812964812965,0.1083886127052397,0.5616666666666668,0.15994475772216396,50
baseline_b_late,gas,0.5,0.6192852147852147,0.12244562121807218,0.5272222222222223,0.18154404107845568,50
baseline_b_late,ir,0.0,0.7022732169790993,0.03981521542596466,0.5416666666666666,0.09979981222189911,50
baseline_b_late,ir,0.1,0.6954535660418013,0.04073156024880607,0.5338888888888889,0.11559681149109845,50
baseline_b_late,ir,0.2,0.6870060527707587,0.05133164470207926,0.5333333333333333,0.13826389992209798,50
baseline_b_late,ir,0.3,0.6798481322598969,0.05419660090125613,0.5327777777777778,0.11767596035406175,50
baseline_b_late,ir,0.4,0.6785480140774258,0.0795318110144926,0.5316666666666667,0.11838572610805972,50
baseline_b_late,ir,0.5,0.6617835432541316,0.05787408968644325,0.5044444444444445,0.11736375267056309,50
baseline_b_late,joint,0.0,0.7022732169790993,0.03981521542596466,0.5416666666666666,0.09979981222189911,50
baseline_b_late,joint,0.1,0.670403900021547,0.06714298039100187,0.505,0.14138237893142983,50
baseline_b_late,joint,0.2,0.6611868131868132,0.0756322705400673,0.5472222222222222,0.1390871600660467,50
baseline_b_late,joint,0.3,0.6439323421676363,0.0684283467115012,0.5383333333333333,0.18070942336140078,50
baseline_b_late,joint,0.4,0.6245194641959347,0.1274813073513346,0.5213888888888889,0.16477120390004044,50
baseline_b_late,joint,0.5,0.6160812520812521,0.09580268302284631,0.5097222222222222,0.16608102890837742,50
baseline_b_late,rgb,0.0,0.7022732169790993,0.03981521542596466,0.5416666666666666,0.09979981222189911,50
baseline_b_late,rgb,0.1,0.7024628312863607,0.04714580791164104,0.5316666666666666,0.10054806977811563,50
baseline_b_late,rgb,0.2,0.6975827407886231,0.06128641029396096,0.5222222222222223,0.14175056428168056,50
baseline_b_late,rgb,0.3,0.6919101486748545,0.07318387974385646,0.5633333333333334,0.12270056878123711,50
baseline_b_late,rgb,0.4,0.6734942018765548,0.0802828516504601,0.555,0.1323863289228306,50
baseline_b_late,rgb,0.5,0.6736647829294888,0.08917831186869601,0.518888888888889,0.10974787294532953,50
full_model,gas,0.0,0.8133333333333332,0.053458741215595094,0.775,0.1476542456757068,50
full_model,gas,0.1,0.801893772893773,0.08009982290830714,0.7727777777777779,0.15273293508049215,50
full_model,gas,0.2,0.7974648684648684,0.0836334131588189,0.7766666666666667,0.1384869467376968,50
full_model,gas,0.3,0.786088578088578,0.10816270176981382,0.7916666666666667,0.15443086287531788,50
full_model,gas,0.4,0.7793586413586414,0.09025506394661519,0.785,0.1319478755968719,50
full_model,gas,0.5,0.7824911754911755,0.10607383489031733,0.79,0.136908787610469,50
full_model,ir,0.0,0.8133333333333332,0.053458741215595094,0.775,0.1476542456757068,50
full_model,ir,0.1,0.7895635638870933,0.068385466746725,0.7494444444444445,0.15798336227705054,50
full_model,ir,0.2,0.7900237017884076,0.07980592089066108,0.7544444444444445,0.1732777979525667,50
full_model,ir,0.3,0.7618388180447003,0.08366869622488941,0.7455555555555555,0.1696037502497084,50
full_model,ir,0.4,0.7443085574556163,0.08281504239883164,0.7555555555555555,0.13917204695833482,50
full_model,ir,0.5,0.7378211690270514,0.07439924323380008,0.7377777777777779,0.16295566189925387,50
full_model,joint,0.0,0.8133333333333332,0.053458741215595094,0.775,0.1476542456757068,50
full_model,joint,0.1,0.7560190789602553,0.09949888429277651,0.7411111111111112,0.17572152664279347,50
full_model,joint,0.2,0.7114689624101389,0.12966481458132,0.7083333333333335,0.1645031533982074,50
full_model,joint,0.3,0.6477486826898591,0.1517259936357966,0.6533333333333334,0.17088759439132975,50
full_model,joint,0.4,0.6148662448662449,0.153474581461448,0.6255555555555555,0.16590813784767044,50
full_model,joint,0.5,0.6058734043734044,0.14577009223883794,0.6111111111111112,0.15934899210524817,50
full_model,rgb,0.0,0.8133333333333332,0.053458741215595094,0.775,0.1476542456757068,50
full_model,rgb,0.1,0.7791458541458541,0.08047493727035873,0.7483333333333334,0.14905112662167552,50
full_model,rgb,0.2,0.7580769230769231,0.0982185597221325,0.728888888888889,0.15719094983170853,50
full_model,rgb,0.3,0.7604679372914667,0.09357033723852524,0.7405555555555555,0.14822477704523065,50
full_model,rgb,0.4,0.701560537501714,0.1379910926546116,0.7144444444444444,0.14996010219367353,50
full_model,rgb,0.5,0.6905787415199179,0.13102527845438003,0.7211111111111111,0.1474098192960459,50
